text,label,source,language,text_cleaned,length,word_count,avg_word_length,digit_count,uppercase_count,exclamation_count,question_count,dollar_count,percent_count,has_url,has_phone,has_email,has_currency,abbreviation_count,digit_ratio,keyword_urgent,keyword_immédiat,keyword_immédiatement,keyword_gagner,keyword_loterie,keyword_héritage,keyword_m-pesa,keyword_mobile_money,keyword_transfert,keyword_virement,keyword_récompense,keyword_arnaque,keyword_escroquerie,keyword_compte_bloqué,keyword_compte_suspendu,keyword_vérifier,keyword_confirmer,keyword_code,keyword_secret,keyword_pin,keyword_otp,keyword_gratuit,keyword_promo,keyword_offre_spéciale,keyword_temps_limité,keyword_mtn,keyword_moov,keyword_celtis,keyword_sbee,keyword_benin,keyword_bénin,fraud_keyword_score,uppercase_ratio
"Oi, peço para transferir aquele valor para meu mpesa. Este mesmo número",0,moz_smishing,portuguese,oi peço para transferir aquele valor para meu mpesa. este mesmo número,71,12,5.0,0,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028169014084507043
Bom dia babe..tudo bem? Não se esqueça de ligar pra o seu tio e seu boss...as 09h. Bj,0,moz_smishing,portuguese,bom dia babe..tudo bem? não se esqueça de ligar pra o seu tio e seu boss..as 09h. bj,85,18,3.7777777777777777,2,3,0,1,0,0,0,0,0,0,0,0.023529411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03529411764705882
"AEN8AFWXJHC Confirmado. Compraste  19.00MT de  credito  aos 23/5/23 as 6:23 PM.O novo saldo  M-Pesa e de 0.38MT. Em caso de duvida, liga 100. M-Pesa e facil!",0,moz_smishing,portuguese,aen8afwxjhc confirmado. compraste 19.00mt de credito aos 23 5 23 as 6 23 pm.o novo saldo m pesa e de 0.38mt. em caso de duvida liga 100. m pesa e facil!,157,26,4.923076923076923,19,24,1,0,0,0,0,0,0,0,0,0.12101910828025478,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15286624203821655
"7GD04E51YZM. Caro Cliente, o codigo para efectuar levantamento na conta M-Pesa e 639850. Tens 15min para usa-lo na ATM-Ponto24 antes que expire. O teu saldo e de 2070.00 MT. M-Pesa e facil!",0,moz_smishing,portuguese,7gd04e51yzm. caro cliente o codigo para efectuar levantamento na conta m pesa e 639850. tens 15min para usa lo na atm ponto24 antes que expire. o teu saldo e de 2070.00 mt. m pesa e facil!,189,32,4.9375,21,20,1,0,0,0,0,0,0,0,0,0.1111111111111111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.10582010582010581
"Bom dia babe. Está bem. Vou comprar.
Boa viagem",0,moz_smishing,portuguese,bom dia babe. está bem. vou comprar. boa viagem,47,9,4.333333333333333,0,4,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851063829787234
estou a pedir aquele valor que estou a dever-te,0,moz_smishing,portuguese,estou a pedir aquele valor que estou a dever te,47,9,4.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
"Millennium bim - Transferencia domestica - Valor 1.900,00 MZN - Codigo autorizacao: 2324416
S1 Enviado/send: 09:39:07",0,moz_smishing,portuguese,millennium bim transferencia domestica valor 1.900 00 mzn codigo autorizacao s1 enviado send 09 39 07,117,16,6.375,20,9,0,0,0,0,0,1,0,0,0,0.17094017094017094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693
"Confirmado 7FA447X7O7C. Depositaste o valor de 136.00MT no agente 9-EGIDIO DANIEL aos  10/6/20 as 8:13 AM. O teu novo saldo  M-Pesa e de 8,138.00MT. M-Pesa e facil!",0,moz_smishing,portuguese,confirmado 7fa447x7o7c. depositaste o valor de 136.00mt no agente 9 egidio daniel aos 10 6 20 as 8 13 am. o teu novo saldo m pesa e de 8 138.00mt. m pesa e facil!,164,27,5.037037037037037,26,30,1,0,0,0,0,0,0,0,0,0.15853658536585366,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.18292682926829268
"Confirmado 7HS24MB25EO. Transferiste 2,500.00MT e a taxa foi de 20.00MT para conta 75097692 Millennium BIM aos 28/8/20 as 11:52 AM. o teu novo saldo M-Pesa e de 1,298.00MT.M-Pesa e facil!",0,moz_smishing,portuguese,confirmado 7hs24mb25eo. transferiste 2 500.00mt e a taxa foi de 20.00mt para conta millennium bim aos 28 8 20 as 11 52 am. o teu novo saldo m pesa e de 1 298.00mt.m pesa e facil!,187,30,5.266666666666667,38,24,1,0,0,0,0,1,0,0,0,0.20320855614973263,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12834224598930483
"f**as, amanhã viajo. Podes passar daqui a casa a altura que vais trabalhar  para levar o valor? Eu viajarei as 10horas",0,moz_smishing,portuguese,f as amanhã viajo. podes passar daqui a casa a altura que vais trabalhar para levar o valor? eu viajarei as 10horas,118,21,4.619047619047619,2,2,0,1,0,0,0,0,0,0,0,0.01694915254237288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01694915254237288
